AppID,Name,Genres,Categories,Tags,Rating
1945250,Blacktop Hoops,"Action, Casual, Indie, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Co-op","Sports, Basketball, VR, Competitive, Action",42
420290,Blackwake,"Action, Casual, Indie, Strategy, Free To Play","Multi-player, PvP, Online PvP, Co-op, Online Co-op","Pirates, Multiplayer, Naval Combat, Naval, Team-Based",76
80350,Blackwell Convergence,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud","Point & Click, Adventure, Indie, Female Protagonist, Supernatural",41
80360,Blackwell Deception,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud","Point & Click, Adventure, Indie, Female Protagonist, Supernatural",41
236930,Blackwell Epiphany,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud","Adventure, Point & Click, Indie, Female Protagonist, Supernatural",46
80340,Blackwell Unbound,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud","Point & Click, Adventure, Indie, Female Protagonist, Supernatural",43
453310,Blackwood Crossing,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Stats, Remote Play on TV","Adventure, Indie, Story Rich, Female Protagonist, First-Person",37
629730,Blade and Sorcery,"Action, Adventure, Indie, RPG, Simulation","Single-player, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing","VR, Swordplay, Moddable, Sandbox, Gore",93
446040,Blade Arcus from Shining: Battle Arena,Action,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP","Action, Anime, Fighting, 2D Fighter, Arcade",34
1367300,Blade Assault,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud","Action, Rogue-like, Pixel Graphics, Platformer, 2D Platformer",49
9940,Blade Kitten,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud","Action, Platformer, Female Protagonist, Anime, Adventure",44
1710170,Blade of Darkness,"Action, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Violent, Dark Fantasy, Difficult, Souls-like, Action",56
3074440,Blade of God X: Orisols,"Action, RPG, Free To Play","Multi-player, PvP, Online PvP, Co-op, Online Co-op","Action, RPG, 3D Fighter, Action-Adventure, Action RPG",36
1678420,Blade Runner: Enhanced Edition,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Point & Click, Cinematic, Cyberpunk, FMV",36
565170,Blade Strangers,Action,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP","Action, Fighting, 2D Fighter, Anime, Arcade",35
225600,Blade Symphony,"Action, Indie","Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Cross-Platform Multiplayer","Action, Fighting, Indie, Multiplayer, Swordplay",52
1792820,Blade&Sword,"Action, Adventure, RPG","Single-player, Steam Cloud, Family Sharing","RPG, Adventure, Action, Action RPG, Dark Fantasy",37
2671230,BLADECHIMERA,"Action, Indie","Single-player, Steam Achievements, Full controller support, Camera Comfort, Custom Volume Controls","Metroidvania, Side Scroller, Exploration, 2D Platformer, Martial Arts",44
927250,Bladed fury,"Action, Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Female Protagonist, Indie, Adventure, Hack and Slash",59
2179300,Blades of Jianghu: Ballad of Wind and Dust,"Adventure, Casual, RPG, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing","Sexual Content, JRPG, Turn-Based Strategy, Adventure, RPG",37
